Sample,presentRate.mean,presentRate.sterr,idealRate.mean
CR0095,0.07922000,0.00092806,0.08265000
CR04885,0.07571000,0.00086184,0.08961000
CR06670,0.07717000,0.00087573,0.12277000
CR1509,0.08159000,0.00081574,0.09414000
CR22640,0.06603000,0.00079764,0.07588000
CR3665,0.08674000,0.00074270,0.08923000
CR4880,0.08251000,0.00064178,0.09389000
CR6126,0.05770000,0.00059573,0.06628000
CR6161,0.08692000,0.00073512,0.10113000
CR7623,0.08826000,0.00077763,0.09179000
CR9306,0.05405000,0.00076001,0.05650000
CR9699,0.03539000,0.00050010,0.03568000
CRNR0244,0.05565000,0.00046981,0.05661000
CRNR2472,0.07220000,0.00079078,0.09908000
CRNR4941,0.07254000,0.00097743,0.09703000
LSD0167,0.05458000,0.00044716,0.06342000
LSD2057,0.05348000,0.00056111,0.05572000
LSD3484,0.08367000,0.00095255,0.08750000
LSD4691,0.02898000,0.00048621,0.03037000
LSD4744,0.10492000,0.00081674,0.12998000
LSD6819,0.07876000,0.00068867,0.08920000
LSDNR1120,0.06615000,0.00082775,0.07452000
LSDNR1650,0.06871000,0.00070529,0.07299000
LSDNR3086,0.11315000,0.00099858,0.12654000
LSDNR9298,0.05370000,0.00060203,0.05859000
NR1867,0.10936000,0.00086708,0.13315000
NR2137,0.10139000,0.00080973,0.12466000
NR3156,0.06076000,0.00084659,0.06129000
NR3549,0.05333000,0.00055358,0.06599000
NR4018,0.09227000,0.00073621,0.11308000
NR4045,0.10077000,0.00073440,0.11885000
NR4083,0.05904000,0.00090667,0.06395000
NR4631,0.05396000,0.00043364,0.07483000
NR4810,0.07376000,0.00086000,0.08435000
NR4949,0.06797000,0.00109383,0.07019000
NR5784,0.08972000,0.00078341,0.12040000
NR6689,0.06362000,0.00056466,0.07850000
NR6721,0.06280000,0.00064118,0.07793000
NR6842,0.08202000,0.00087949,0.09856000
NR8727,0.05194000,0.00056886,0.05364000
NR8815,0.05694000,0.00080252,0.06125000
NR9341,0.04450000,0.00046308,0.04576000
NR9445,0.05815000,0.00083123,0.06268000
NR9449,0.06891000,0.00106160,0.07140000
NR9521,0.05024000,0.00111487,0.05264000
NR9705,0.07232000,0.00076577,0.08488000
NR9765,0.08511000,0.00076179,0.09534000
PR03803,0.07133000,0.00079191,0.08365000
PR12117,0.09562000,0.00073979,0.10926000
PR4035,0.08682000,0.00076504,0.10858000
PR4046,0.09146000,0.00094448,0.13717000
PR4077,0.02982000,0.00047814,0.03540000
PR4091,0.04951000,0.00088850,0.05304000
PR4092,0.06913000,0.00087877,0.07527000
SD0346,0.07365000,0.00087677,0.07650000
SD1494,0.07876000,0.00068867,0.08920000
SD2051,0.02477000,0.00044747,0.02560000
SD2056,0.04467000,0.00040690,0.05255000
SD5038,0.09752000,0.00096917,0.11294000
SD5118,0.03000000,0.00043359,0.03021000
SD5934,0.01384000,0.00041074,0.01389000
SD6336,0.06987000,0.00080001,0.07228000
SD6494,0.06053000,0.00051468,0.06346000
SD7357,0.09267000,0.00103140,0.13209000
Pat02,0.06925000,0.00077721,0.08100000
Pat03,0.06823000,0.00061861,0.08180000
Pat04,0.07713000,0.00095383,0.10229000
Pat06,0.08772000,0.00097705,0.10482000
Pat07,0.03977000,0.00049600,0.04849000
Pat08,0.09734000,0.00095489,0.11150000
Pat100,0.10057000,0.00085636,0.14151000
Pat101,0.09881000,0.00061055,0.11034000
Pat103,0.04006000,0.00057275,0.04601000
Pat104,0.10860000,0.00083997,0.12858000
Pat105,0.05852000,0.00081565,0.06335000
Pat106,0.10094000,0.00096012,0.11700000
Pat109,0.09656000,0.00084185,0.11236000
Pat110,0.06479000,0.00091935,0.07999000
Pat113,0.03397000,0.00040553,0.03629000
Pat115,0.09487000,0.00083627,0.11365000
Pat117,0.07754000,0.00060004,0.08606000
Pat118,0.06699000,0.00071250,0.06950000
Pat121,0.04662000,0.00103718,0.04884000
Pat123,0.06095000,0.00094578,0.06676000
Pat124,0.06233000,0.00097594,0.07761000
Pat126,0.08251000,0.00064178,0.09389000
Pat127,0.07262000,0.00110401,0.07849000
Pat128,0.03976000,0.00062204,0.04167000
Pat129,0.06790000,0.00064135,0.08441000
Pat130,0.08844000,0.00089171,0.11381000
Pat131,0.05868000,0.00073934,0.05976000
Pat132,0.03800000,0.00036757,0.03914000
Pat133,0.07160000,0.00063034,0.07598000
Pat135,0.08000000,0.00080623,0.09130000
Pat138,0.06408000,0.00080275,0.06679000
Pat139,0.09971000,0.00106515,0.16948000
Pat14,0.09318000,0.00067869,0.10109000
Pat140,0.07362000,0.00078028,0.08017000
Pat143,0.10395000,0.00097699,0.14997000
Pat147,0.03929000,0.00060763,0.04120000
Pat148,0.06546000,0.00074240,0.07670000
Pat15,0.07486000,0.00082774,0.13127000
Pat151,0.11189000,0.00087768,0.13735000
Pat157,0.06066000,0.00071790,0.07491000
Pat160,0.07401000,0.00081410,0.08837000
Pat162,0.03977000,0.00049600,0.04849000
Pat165,0.11217000,0.00106176,0.13014000
Pat166,0.10358000,0.00078525,0.11503000
Pat167,0.12028000,0.00117197,0.14613000
Pat168,0.08766000,0.00071867,0.10744000
Pat17,0.08101000,0.00088963,0.09298000
Pat170,0.07343000,0.00112260,0.07573000
Pat171,0.03772000,0.00037854,0.04699000
Pat174,0.05791000,0.00092813,0.06363000
Pat175,0.07094000,0.00067284,0.07939000
Pat19,0.06859000,0.00090890,0.08086000
Pat21,0.03554000,0.00028174,0.03607000
Pat24,0.06807000,0.00075396,0.09064000
Pat25,0.08169000,0.00068710,0.10031000
Pat29,0.11285000,0.00078842,0.12915000
Pat32,0.07939000,0.00068515,0.08943000
Pat33,0.06230000,0.00062628,0.07963000
Pat36,0.05579000,0.00057763,0.05826000
Pat37,0.02734000,0.00033139,0.02936000
Pat38,0.10808000,0.00102196,0.12338000
Pat39,0.06456000,0.00067350,0.07229000
Pat40,0.05852000,0.00081565,0.06335000
Pat41,0.05973000,0.00087395,0.06500000
Pat43,0.07881000,0.00078066,0.09441000
Pat44,0.06072000,0.00053682,0.07089000
Pat45,0.06299000,0.00113759,0.07080000
Pat46,0.03322000,0.00052000,0.03895000
Pat47,0.07245000,0.00086220,0.09303000
Pat49,0.04278000,0.00052277,0.04353000
Pat50,0.10160000,0.00097240,0.11149000
Pat54,0.09562000,0.00073979,0.10926000
Pat55,0.09126000,0.00085339,0.09752000
Pat56,0.08503000,0.00080028,0.10331000
Pat57,0.05417000,0.00062682,0.05993000
Pat58,0.10425000,0.00102190,0.16251000
Pat59,0.07951000,0.00086171,0.10671000
Pat60,0.05477000,0.00052133,0.05673000
Pat62,0.08043000,0.00076769,0.09446000
Pat63,0.03170000,0.00042714,0.03403000
Pat64,0.06266000,0.00048790,0.06526000
Pat66,0.05735000,0.00099412,0.06581000
Pat67,0.06319000,0.00068434,0.06917000
Pat70,0.05808000,0.00060126,0.06379000
Pat71,0.09659000,0.00088888,0.11564000
Pat73,0.08878000,0.00078935,0.10759000
Pat74,0.10672000,0.00055554,0.12762000
Pat76,0.03997000,0.00052790,0.04272000
Pat77,0.07175000,0.00084948,0.07761000
Pat78,0.03771000,0.00029077,0.03955000
Pat79,0.06266000,0.00085482,0.06938000
Pat80,0.10358000,0.00078525,0.11503000
Pat81,0.08734000,0.00082195,0.10139000
Pat82,0.08743000,0.00067265,0.10004000
Pat85,0.07381000,0.00078024,0.08041000
Pat86,0.08405000,0.00089719,0.09024000
Pat88,0.08045000,0.00068219,0.08647000
Pat90,0.04669000,0.00063499,0.05237000
Pat92,0.04551000,0.00050891,0.04734000
Pat98,0.03910000,0.00038586,0.04015000
Pt10,0.05566000,0.00100357,0.06067000
Pt100,0.05336000,0.00064828,0.06182000
Pt101,0.04209000,0.00039650,0.04228000
Pt102,0.08840000,0.00091007,0.09658000
Pt103,0.06998000,0.00052658,0.07545000
Pt104,0.08626000,0.00074955,0.10370000
Pt106,0.03833000,0.00046477,0.03834000
Pt108,0.03687000,0.00035654,0.04413000
Pt11,0.05458000,0.00044716,0.06342000
Pt13,0.08283000,0.00078571,0.09068000
Pt17,0.09881000,0.00061055,0.11034000
Pt18,0.08875000,0.00095432,0.09278000
Pt23,0.09741000,0.00067929,0.11328000
Pt24,0.08170000,0.00051251,0.09392000
Pt25,0.08288000,0.00086420,0.08660000
Pt26,0.05173000,0.00042845,0.05484000
Pt27,0.09543000,0.00090702,0.10414000
Pt28,0.09289000,0.00085133,0.10774000
Pt29,0.10702000,0.00103889,0.12615000
Pt3,0.07715000,0.00067400,0.08457000
Pt30,0.03177000,0.00038182,0.03989000
Pt31,0.05877000,0.00080070,0.06157000
Pt32,0.04828000,0.00041280,0.04968000
Pt34,0.08457000,0.00075101,0.10180000
Pt36,0.06319000,0.00061616,0.06870000
Pt37,0.03940000,0.00032111,0.04079000
Pt38,0.04079000,0.00057974,0.04145000
Pt4,0.02510000,0.00052303,0.03327000
Pt44,0.05410000,0.00102339,0.05647000
Pt46,0.01995000,0.00044901,0.02006000
Pt47,0.04433000,0.00064223,0.04449000
Pt48,0.05762000,0.00054340,0.06386000
Pt49,0.04940000,0.00068378,0.05761000
Pt5,0.07766000,0.00101458,0.09726000
Pt51,0.04209000,0.00039650,0.04228000
Pt52,0.09168000,0.00102825,0.10878000
Pt53,0.02662000,0.00046519,0.02667000
Pt54,0.11045000,0.00057894,0.12532000
Pt58,0.05186000,0.00040227,0.06056000
Pt59,0.05346000,0.00067019,0.06113000
Pt60,0.08540000,0.00121216,0.09976000
Pt65,0.06322000,0.00085086,0.06654000
Pt66,0.06867000,0.00059704,0.07253000
Pt67,0.09125000,0.00081203,0.10296000
Pt68,0.05458000,0.00044716,0.06342000
Pt7,0.03686000,0.00043415,0.03924000
Pt70,0.10350000,0.00090222,0.12229000
Pt71,0.05825000,0.00069542,0.06493000
Pt72,0.08157000,0.00104276,0.08449000
Pt73,0.07343000,0.00084525,0.08333000
Pt74,0.07232000,0.00076577,0.08488000
Pt76,0.09284000,0.00068625,0.10425000
Pt77,0.06546000,0.00089458,0.06799000
Pt79,0.09284000,0.00068625,0.10425000
Pt8,0.07164000,0.00089792,0.08422000
Pt82,0.09487000,0.00083627,0.11365000
Pt83,0.08916000,0.00051837,0.09431000
Pt84,0.05446000,0.00048217,0.05765000
Pt85,0.07006000,0.00116878,0.08517000
Pt86,0.06279000,0.00050694,0.06643000
Pt87,0.08487000,0.00093358,0.10342000
Pt89,0.07367000,0.00081623,0.07950000
Pt9,0.05124000,0.00062613,0.05772000
Pt90,0.05855000,0.00081721,0.06864000
Pt92,0.06862000,0.00083530,0.07350000
Pt93,0.05013000,0.00042402,0.05181000
Pt94,0.07214000,0.00077103,0.08215000
Pt98,0.07763000,0.00094458,0.10223000
LAPT1,0.07396000,0.00090801,0.08708000
LAPT10,0.06620000,0.00081021,0.07275000
LAPT11,0.04296000,0.00039107,0.04389000
LAPT12,0.03599000,0.00065514,0.03987000
LAPT13,0.10304000,0.00093929,0.13690000
LAPT14,0.05446000,0.00048217,0.05765000
LAPT15,0.08305000,0.00104395,0.10277000
LAPT16,0.06166000,0.00101360,0.08416000
LAPT17,0.03978000,0.00050460,0.04245000
LAPT18,0.07916000,0.00100512,0.09240000
LAPT19,0.07864000,0.00085339,0.08571000
LAPT2,0.07198000,0.00093676,0.08396000
LAPT20,0.03638000,0.00038262,0.04175000
LAPT21,0.04353000,0.00032730,0.04529000
LAPT22,0.05666000,0.00078191,0.06506000
LAPT23,0.06413000,0.00112102,0.06592000
LAPT24,0.06783000,0.00061573,0.08295000
LAPT25,0.06073000,0.00077832,0.06535000
LAPT26,0.08836000,0.00088295,0.10890000
LAPT27,0.04681000,0.00052924,0.05936000
LAPT28,0.03451000,0.00063761,0.03561000
LAPT29,0.05410000,0.00102339,0.05647000
LAPT3,0.09124000,0.00069765,0.10115000
LAPT30,0.05762000,0.00054340,0.06386000
LAPT31,0.04645000,0.00028018,0.04754000
LAPT32,0.07210000,0.00087420,0.08798000
LAPT33,0.05294000,0.00040227,0.05491000
LAPT34,0.03485000,0.00037156,0.03558000
LAPT35,0.08157000,0.00104276,0.08449000
LAPT36,0.05458000,0.00044716,0.06342000
LAPT37,0.07112000,0.00082189,0.07779000
LAPT38,0.07828000,0.00087886,0.09181000
LAPT4,0.06984000,0.00091508,0.08139000
LAPT5,0.10517000,0.00095290,0.11801000
LAPT6,0.04577000,0.00065507,0.04923000
LAPT7,0.07736000,0.00092342,0.08774000
LAPT9,0.04868000,0.00056309,0.06254000
AL4602,0.06801000,0.00051821,0.07786000
AU5884,0.06086000,0.00095582,0.06632000
BL3403,0.06286000,0.00084855,0.06842000
CA9903,0.08174000,0.00073018,0.08718000
CU9061,0.07815000,0.00079600,0.12384000
DI6359,0.08706000,0.00076029,0.12587000
DM123062,0.07446000,0.00084646,0.08502000
FR9547,0.06007000,0.00067033,0.06345000
GR0134,0.05411000,0.00103553,0.05622000
GR4788,0.03322000,0.00051247,0.03704000
HE3202,0.09090000,0.00101828,0.11103000
JB112852,0.03539000,0.00038455,0.03539000
KA3947,0.03412000,0.00046876,0.04640000
LO3793,0.06387000,0.00078741,0.06826000
LO5004,0.08450000,0.00110020,0.12533000
M4945,0.09872000,0.00121553,0.11059000
MA7027,0.05042000,0.00069647,0.05621000
NI9507,0.07196000,0.00082881,0.07302000
R7495,0.08778000,0.00077385,0.09821000
RH090935,0.07582000,0.00090453,0.09860000
RI1933,0.04964000,0.00086335,0.05024000
RO3338,0.09406000,0.00091981,0.11415000
SA9755,0.06279000,0.00050694,0.06643000
SB010944,0.05458000,0.00044716,0.06342000
SC0899,0.06561000,0.00095108,0.07144000
SC6470,0.05849000,0.00071421,0.05939000
SR070761,0.04958000,0.00075980,0.05282000
TU0428,0.05923000,0.00056136,0.06672000
VA1330,0.03109000,0.00037430,0.03136000
VA7859,0.07947000,0.00086859,0.08927000
WA7899,0.04418000,0.00051678,0.05016000
Y2087,0.07047000,0.00094069,0.08191000
ZA6505,0.08429000,0.00074914,0.10605000
ZA6965,0.08582000,0.00100640,0.10564000
CUMC1,0.09357000,0.00089468,0.11971000
CUMC2,0.07545000,0.00068803,0.07707000
CUMC3,0.05917000,0.00070286,0.06643000
CUMC4,0.08604000,0.00084764,0.09962000
CUMC5,0.06484000,0.00072529,0.07156000
CUMC6,0.09550000,0.00058916,0.12557000
CUMC7,0.07185000,0.00076424,0.07932000
CUMC8,0.03477000,0.00061392,0.04061000
CUMC9,0.07392000,0.00077097,0.08901000
CUMC10,0.07978000,0.00086497,0.09035000
CUMC11,0.06702000,0.00085866,0.06786000
CUMC12,0.06143000,0.00041768,0.06697000
CUMC13,0.03910000,0.00041312,0.04245000
CUMC14,0.05960000,0.00048397,0.06287000
CUMC15,0.08120000,0.00064308,0.08454000
CUMC16,0.06981000,0.00083911,0.07820000
CUMC17,0.12397000,0.00088205,0.16907000
CUMC18,0.06252000,0.00079775,0.06877000
CUMC19,0.06728000,0.00095485,0.07107000
CUMC20,0.05415000,0.00065494,0.05940000
CUMC21,0.10957000,0.00098320,0.11938000
CUMC22,0.08141000,0.00064764,0.09208000
CUMC23,0.05901000,0.00066691,0.06241000
CUMC24,0.06759000,0.00088411,0.07198000
CUMC25,0.04903000,0.00068167,0.05526000
CUMC26,0.05457000,0.00075041,0.05942000
CUMC27,0.05234000,0.00067118,0.05713000
CUMC28,0.06856000,0.00070304,0.07869000
CUMC29,0.02343000,0.00054325,0.02374000
CUMC30,0.01352000,0.00027600,0.01388000
CUMC31,0.07475000,0.00070115,0.08471000
CUMC32,0.05654000,0.00053150,0.05999000
CUMC33,0.04846000,0.00087104,0.05285000
CUMC34,0.09120000,0.00080953,0.12241000
CUMC35,0.07957000,0.00073621,0.09607000
CUMC36,0.10246000,0.00082262,0.10931000
CUMC37,0.05411000,0.00103553,0.05622000
CUMC38,0.12199000,0.00089486,0.14595000
CUMC39,0.09927000,0.00100610,0.12653000
CUMC40,0.04674000,0.00048994,0.04969000
CUMC41,0.08157000,0.00104276,0.08449000
CUMC42,0.03810000,0.00053810,0.04007000
CUMC43,0.10457000,0.00115008,0.11092000
CUMC44,0.07533000,0.00098184,0.09900000
CUMC45,0.03548000,0.00032924,0.03845000
CUMC46,0.05871000,0.00099716,0.06384000
CUMC47,0.16572000,0.00099686,0.22664000
CUMC48,0.04788000,0.00096169,0.05075000
CUMC49,0.06293000,0.00071400,0.06641000
CUMC50,0.06340000,0.00060553,0.07334000
CUMC51,0.09533000,0.00099231,0.10590000
CUMC52,0.07927000,0.00088908,0.08379000
CUMC53,0.07210000,0.00092400,0.07240000
CUMC54,0.08271000,0.00075652,0.09427000
CUMC55,0.07083000,0.00097195,0.09242000
CUMC56,0.09334000,0.00102937,0.11686000
CUMC57,0.06702000,0.00066296,0.07493000
CUMC58,0.05787000,0.00073983,0.06557000
CUMC59,0.06386000,0.00047824,0.06692000
CUMC60,0.04971000,0.00060506,0.05152000
CUMC61,0.07557000,0.00102470,0.08236000
CUMC62,0.05799000,0.00073006,0.06795000
CUMC63,0.07222000,0.00056348,0.08305000
CUMC64,0.06854000,0.00080266,0.07258000
CUMC65,0.07550000,0.00059870,0.08647000
CUMC66,0.10205000,0.00089620,0.11676000
OB042257,0.06987000,0.00080001,0.07228000
EP372668,0.09993000,0.00111076,0.12776000
BV379195,0.09029000,0.00074944,0.12706000
NB536456,0.09010000,0.00081131,0.12714000
RX904694,0.04851000,0.00086967,0.05079000
AN293177,0.10909000,0.00089287,0.12355000
NA303088,0.09148000,0.00113263,0.09980000
NC668467,0.06681000,0.00078109,0.07227000
KW787528,0.07629000,0.00089560,0.09896000
AW882070,0.06769000,0.00066557,0.10950000
NE179096,0.08070000,0.00088531,0.11130000
HK537369,0.07645000,0.00058675,0.08189000
WL084588,0.08750000,0.00072357,0.09256000
WV248294,0.09881000,0.00061055,0.11034000
QT721351,0.07589000,0.00076368,0.08227000
WE615011,0.08075000,0.00081530,0.08180000
RL562554,0.07012000,0.00060897,0.07388000
GL866200,0.07840000,0.00080374,0.08335000
DC990051,0.09111000,0.00082374,0.11373000
AO750281,0.08867000,0.00100145,0.11740000
RU065936,0.07512000,0.00064460,0.07679000
PW329375,0.09097000,0.00090383,0.09805000
BP983860,0.09126000,0.00085339,0.09752000
ZK434939,0.11217000,0.00106176,0.13014000
RJ401736,0.07802000,0.00094796,0.09165000
ZL338926,0.07350000,0.00084512,0.08857000
PT088136,0.09601000,0.00080560,0.11617000
VI665293,0.09019000,0.00106358,0.10019000
PZ793599,0.06894000,0.00095268,0.07521000
OS197548,0.04968000,0.00065605,0.05156000
